ABERDEEN: VIA FIRENZE, 48: 2:41.9025257:12.4940037
ANGEL: VIA MARIANNA DIONIGI, 43: 2:41.9058894:12.4715448
ANGLO AMERICANO: VIA DELLE QUATTRO FONTANE, 12: 4:41.9031507:12.4889239
ANIENE: VIALE TIRRENO, 74: 3:41.9441497:12.5279395
ANTICA LOCANDA: VIA DEL BOSCHETTO, 81: 2:41.8962707:12.4908049
ANTICA LOCANDA PALMIERI: VIA DI GROTTA PERFETTA, 551: 3:41.8370093:12.5090757
ANTICO ACQUEDOTTO: VIA DI VILLA SERVENTI, 9abc: 3:41.8723889:12.4801802
ANTICO CASALE: VIA DELLA PISANA, 952: 2:41.8559947:12.3930507
ANTICO PALAZZO ROSPIGLIOSI: VIA LIBERIANA, 21: 4:41.8973817:12.4977311
APHRODITE: VIA MARSALA, 90: 3:41.9013661:12.5040381
APOLLO: VIA DEI SERPENTI, 109: 3:41.8966941:12.4901348
APPIA PARK HOTEL: VIA APPIA NUOVA, 934: 4:41.83948:12.55147
APPIA PARK HOTEL DIPENDENZA: VIA APPIA NUOVA, 936: 4:41.8365943:12.5514304
APPIA PARK HOTEL 2: VIA APPIA NUOVA, 932: 3:41.8365965:12.5514299
AQUARIUM - non autorizzato: PIAZZA MANFREDO FANTI, 10: 2:41.8981647:12.5031674
ARA PACIS: VIA VITTORIA COLONNA, 11: 3:41.905239:12.4724574
ARA PACIS: VIA VITTORIA COLONNA, 11: 3:41.905239:12.4724574
ARCADIA: VIA SAN BASILE, 75: 3:41.8304292:12.6143836
ARCANGELO: VIA BOEZIO, 15: 3:41.9066376:12.4649204
ARCHIMEDE: VIA DEI MILLE, 19: 4:41.9027094:12.5045246
ARCO DI TRAVERTINO: VIA VALGIA SILVILLA, 71: 2:41.8687397:12.5362949
ARDEATINA PARK HOTEL: VIA VITTORE GHILIANI, 143: 4:41.7917393:12.5297183
ARENULA: VIA DI S. MARIA DE' CALDERARI, 47: 2:41.8932593:12.4755604
ARGENTINA: VIA CAVOUR, 47: 3:41.8994801:12.4983552
ARGENTINA RESIDENZA STYLE HOTEL: VIA DI TORRE ARGENTINA, 47: 3:41.89542:12.47638
ARIS GARDEN HOTEL: VIA ARISTOFANE, 101: 4:41.7637922:12.3711699
ARISTON: VIA FILIPPO TURATI, 16: 4:41.8989524:12.501255
ARISTOTELE: VIA PALESTRO, 87: 2:41.9034119:12.5060695
ARS HOTEL: VIA MONTE ALTISSIMO, 20-24: 4:41.9369412:12.5331549
ARS HOTEL: VIA MONTE ALTISSIMO, 20-24: 4:41.9369412:12.5331549
ARS HOTEL DEPENDANCE: VIALE CARNARO, 3: 4:41.9373255:12.5336656
ARS HOTEL DEPENDANCE: VIALE CARNARO, 3: 4:41.9373255:12.5336656
ART DECO': VIA PALESTRO, 19-21: 4:41.9067214:12.5019411
ART HOTEL NOBA: VIA NOMENTANA, 543: 3:41.9315575:12.5274413
ARTEMIDE: VIA NAZIONALE, 22: 4:41.9010587:12.4938484
ARTIS: VIA ROBERTO FANCELLI, 3: 4:41.8664987:12.5757195
ARTORIUS: VIA DEL BOSCHETTO, 13: 2:41.8971938:12.4904061
ASCOT: VIA MONTEBELLO, 22: 1:41.9049806:12.4993951
ASSISI: VIA DEI MILLE, 27/A: 3:41.902217:12.5049976
ASTORIA GARDEN: VIA VITTORIO BACHELET, 8/10: 3:41.9042846:12.5037588
ASTRID: LARGO ANTONIO SARTI, 4: 3:41.9233485:12.4686479
ATENEO GARDEN PALACE: PIAZZA DEI SICULI, 9/11: 4:41.8988978:12.511347
ATHENA: VIA ERCOLE PASQUALI, 3: 2:41.9080365:12.5194943
ATLANTE GARDEN: VIA CRESCENZIO, 78: 4:41.9059013:12.4615216
ATLANTE STAR: VIA GIOVANNI VITELLESCHI, 34: 4:41.9047442:12.4619629
ATLANTICO: VIA CAVOUR, 23: 4:41.9000227:12.49884
AUDITORIUM DI MECENATE: VIA DELLO STATUTO, 44: 1:41.8948519:12.5013053
AUGUSTA LUCILLA PALACE HOTEL: VIA D'AZEGLIO, 24: 4:41.90013:12.49768
AUGUSTEA: VIA NAZIONALE, 251: 3:41.9017862:12.4947275
AURELIANO: VIA AURELIA, 619: 4:41.8951844:12.4176064
AURELIUS: VIA AURELIA, 458: 3:41.8986621:12.425781
AURORA GARDEN: VIA EMANUELE CIACERI, 12: 3:41.9468271:12.5696545
AVENTINO: VIA DI S. DOMENICO, 10: 3:41.8829405:12.4803426
AZZURRA: VIA DEL BOCCACCIO, 25: 1:41.9028494:12.486996
BABUINO 181: VIA DEL BABUINO, 181: 2:41.9092902:12.4779425
BABUINO 35 DIPENDENZA BABUINO181: VIA DEL BABUINO, 35: 2:41.9091972:12.4781816
BALTIC: VIA VENTI SETTEMBRE, 89: 2:41.908182:12.4996629
BARBERINI: VIA RASELLA, 3-5: 4:41.90271:12.48914
BARCELO ARAN BLU HOTEL: LUNGOMARE DUCA DEGLI ABRUZZI, 72: 4:41.7372651:12.2533768
BARCELO' ARAN MANTEGNA HOTEL: VIA ANDREA MANTEGNA, 130: 4:41.8527353:12.4955271
BARCELO' ARAN PARK HOTEL: VIA RICCARDO FORSTER, 24: 4:41.8212641:12.5095782
BARRETT: VIA DI TORRE ARGENTINA, 47: 3:41.89542:12.47638
BEAUTIFUL: VIA MILAZZO, 8: 2:41.9018004:12.5039385
BEAUTIFUL 2: VIA MILAZZO, 14: 1:41.90183:12.50416
BEAUTY: VIA NAPOLEONE III, 35: 1:41.8967523:12.5016542
BED IN ROMA: VIA DEI MILLE, 64: 1:41.9020276:12.5054579
BEETHOVEN: VIA DEL FORTE BRASCHI, 2: 3:41.91621:12.42338
BEL POGGIO: VIA DI SETTEBAGNI, 733: 2:41.9692231:12.544936
BELA MOTEL: VIA CASSIA, 1801: 3:42.01304:12.37716
BELDEN HOTEL: VIA DEGLI SCIPIONI, 239: 3:41.9104935:12.4656691
BELLA CENCI A: VIA DEL BOSCHETTO DELLA BELLA CENCI, 32: 2:41.75369:12.54024
BELLA CENCI B: VIA DEL BOSCHETTO DELLA BELLA CENCI, 34: 2:41.7532328:12.540916
BELLAVISTA: PIAZZALE MAGELLANO, 16: 3:41.7257756:12.2889331
BELLAVISTA DIPENDENZA: PIAZZALE MAGELLANO, 15: 3:41.7257756:12.2889331
BELVEDERE: PIAZZA DEI RAVENNATI, 4: 3:41.9129932:12.5189279
BENEDETTO: VIA ALBERICO DA ROSATE, 7: 3:41.8944569:12.4162823
BENJAMIN: VIA BOEZIO, 31: 1:41.9065129:12.4633745
BERG LUXURY HOTEL: VIA AURORA, 29-31: 4:41.907129:12.4878232
BERGAMO: VIA GIOBERTI, 30: 2:41.8988934:12.500825
BEST ROMA: VIA DI PORTA MAGGIORE, 51: 4:41.89205:12.51346
BEVERLY HILLS: LARGO BENEDETTO MARCELLO, 220: 4:41.9182951:12.4975377
BIXIO: VIA BIXIO, 46: 1:41.8934178:12.5085344
BLACK HOTEL: VIA RAFFAELLO SARDIELLO, 18: 4:41.8884143:12.4026541
BLED: VIA DI S. CROCE IN GERUSALEMME, 40: 3:41.8905523:12.5118373
BLED DIPENDENZA: VIA DI S. CROCE IN GERUSALEMME, 42: 3:41.8907651:12.5114772
BLED DIPENDENZA: VIA DI S. CROCE IN GERUSALEMME, 42: 3:41.8907651:12.5114772
BLU HOTEL ROMA: LARGO DOMENICO DE DOMINICIS, 3: 4:41.9008529:12.5348486
BOCCACCIO: VIA DEL BOCCACCIO, 25: 1:41.9028494:12.486996
BOLIVAR: VIA DELLA CORDONATA, 6: 4:41.8970706:12.4869495
BOLOGNESE: VIA PALESTRO, 15: 2:41.9071367:12.5016234
BORROMEO: VIA CAVOUR, 117: 3:41.8968293:12.4954318
BOSCOLO ALEPH ROMA: VIA DI S. BASILIO, 15: 5:41.9053803:12.4900161
BOSCOLO EXEDRA ROMA: PIAZZA DELLA REPUBBLICA, 48/49: 5:41.9024214:12.4965351
BOUTIQUE COLLECTION: VIA GREGORIANA, 56: 3:41.9041707:12.4853954
BOUTIQUE HOTEL TREVI: VIA DELLE MURATTE, 92: 4:41.9004714:12.4823326
BOUTIQUE HOTEL TREVI: VIA DELLE MURATTE, 92: 4:41.9004714:12.4823326
BRAMANTE: VICOLO DELLE PALLINE, 25: 2:41.9031913:12.4603732
BRASILE: VIA PALESTRO, 13: 3:41.9074813:12.5011007
BRITANNIA: VIA NAPOLI, 64: 4:41.900701:12.4944424
BRUNA: VIA MARGHERA, 13: 2:41.9021969:12.5034328
BRUNELLA: VIA ANTONIO PACINOTTI, 8: 2:41.8709344:12.4680532
BUENOS AIRES: VIA CLITUNNO, 9: 3:41.9211361:12.5021123
B4 HOTELS BORROMINI: VIA LISBONA, 7: 4:41.9243861:12.4966583
CALIFORNIA: VIA PRINCIPE AMEDEO, 39/47: 3:41.8992197:12.4995648
CAMBRIDGE: VIA PALESTRO, 87: 3:41.9034119:12.5060695
CAMELIA: VIA GOITO, 36: 3:41.9058884:12.5009659
CAMPO DE' FIORI: VIA DEL BISCIONE, 6: 4:41.8955502:12.4728668
CANADA: VIA VICENZA, 58: 3:41.904993:12.5055021
CANOVA: VIA URBANA, 9: 3:41.8976121:12.495424
CAPITAL INN: VIA CARLO SANTARELLI, 96: 4:41.8614181:12.6066446
CAPITOL: VIA GIOVANNI AMENDOLA, 85: 2:41.8994558:12.5004001
CAPO D'AFRICA: VIA CAPO D'AFRICA, 54: 4:41.8883491:12.4973989
CAPO D'AFRICA: VIA CAPO D'AFRICA, 54: 4:41.8883491:12.4973989
CAPRICE: VIA LIGURIA, 38: 3:41.9066662:12.4893795
CARACCIOLO: VIA CAIROLI, 86: 3:41.8952164:12.5086003
CARAVAGGIO 2: VIA PALERMO, 73: 1:41.8993149:12.4927813
CARAVAGGIO-PICASSO: VIA PALERMO, 73-75: 3:41.8993149:12.4927813
CARAVEL: VIA CRISTOFORO COLOMBO, 124: 3:41.8652671:12.4963848
CARDINAL HOTEL ST. PETER: VIA LEONE DEHON, 71/91: 4:41.8916159:12.4371338
CARLO ALBERTO: VIA CARLO ALBERTO, 43: 1:41.896127:12.5012002
CARLO MAGNO: VIA DI SACCO PASTORE, 13: 3:41.9317114:12.5274289
CARMEL: VIA GOFFREDO MAMELI, 11: 1:41.8864685:12.467981
CASA DOMITILLA: VIA DELLE SETTE CHIESE, 280: 3:41.8590803:12.5047249
CASA TRA NOI: VIA DI MONTE DEL GALLO, 113: 3:41.8943253:12.4532105
CASA VALDESE: VIA ALESSANDRO FARNESE, 18: 2:41.9105728:12.4680133
CASALE DELLA CERTOSA: VIA PIETRELCINA, 6-8: 3:41.7224567:12.579618
CASALI: VIA GIOVANNI AMENDOLA, 95: 2:41.8994039:12.5007809
CASAROLA: VIA DI TRIGORIA, 57: 1:41.7699004:12.4792093
CASSIA: VIA CASSIA, 1736: 2:42.00913:12.37888
CASTELFIDARDO: VIA CASTELFIDARDO, 31: 1:41.9064508:12.5007535
CASTELLO DELLA CASTELLUCCIA: VIA CARLO CAVINA, s.n.c: 4:41.9807734:12.3965072
CASTLE: SALITA DI CASTEL GIUBILEO, 196: 2:41.99062:12.50739
CATHRINE: VIA VOLTURNO, 27: 1:41.9046456:12.4993902
CATONE: VIA CATONE, 21: 1:41.9073948:12.459069
CAVOUR: VIA CAVOUR, 47: 2:41.8994801:12.4983552
CECIL: VIA FRANCESCO CRISPI, 55: 3:41.9045114:12.4857373
CELIO: VIA DEI SS. QUATTRO, 35b/c: 3:41.8892184:12.4955369
CENTER: VIA GIOVANNI GIOLITTI, 413: 2:41.8925463:12.5135631
CENTER  2: VIA GIOVANNI GIOLITTI, 441: 3:41.8926047:12.513477
CENTER  3: VIA ACHILLE GRANDI, 7: 3:41.8923227:12.5127728
CENTER 1: VIA GIOVANNI GIOLITTI, 433: 3:41.8931241:12.5125917
CENTRAL LODGE: VIA BUONARROTI, 19: 1:41.8933369:12.5023496
CENTRALE: VIA LAURINA, 34: 3:41.9094323:12.4779817
CENTRO: VIA FIRENZE, 12: 3:41.9009294:12.4949271
CERVIA: VIA PALESTRO, 55: 1:41.9045511:12.5046435
CESARI: VIA DI PIETRA, 89/A: 3:41.8691917:12.4664206
CESARI: VIA DI PIETRA, 89/A: 3:41.8691917:12.4664206
CHAMPAGNE PALACE: VIA PRINCIPE AMEDEO, 82: 4:41.8987722:12.500665
CHARTER: VIA GIOBERTI, 30: 2:41.8988934:12.500825
CHERUBINI: VIA GIOVANNI AMENDOLA, 77: 1:41.8997195:12.5002673
CHICAGO: VIA GIOBERTI, 63: 1:41.8984593:12.500065
CIAO HOTEL: VIA MARSALA, 96/B: 1:41.9012999:12.5041316
CICERONE: VIA CICERONE, 55/C: 4:41.9067333:12.4687971
CILICIA: VIA CILICIA, 5-7: 3:41.8732968:12.5058645
CINECITTA': VIA EUDO GIULIOLI, 13/29: 3:41.8494862:12.5788728
CINECITTA': VIA EUDO GIULIOLI, 13/29: 3:41.8494862:12.5788728
CINEMUSIC: VIA TUSCOLANA, 128: 4:41.8814884:12.5189124
CINEMUSIC: VIA TUSCOLANA, 128: 4:41.8814884:12.5189124
CISTERNA TRASTEVERE: VIA DELLA CISTERNA, 7: 2:41.8887178:12.4708809
CITTA' DUEMILA: VIA DELLA TENUTA DI TORRENOVA, 60: 3:41.8590794:12.6145463
CITY NOVA: VIA DEI DUE MACELLI, 97: 3:41.9035353:12.4848375
CLARIDGE: VIALE LIEGI, 62: 4:41.92243:12.49257
CLARIN: VIA PALERMO, 36: 2:41.8995204:12.4929951
CLELIA PALACE HOTEL: VIA DI VERMICINO, 133: 3:41.85556:12.67574
CLODIO: VIA DI S. LUCIA, 10: 4:41.91986:12.4567006
COLONNA PALACE HOTEL: PIAZZA DI MONTE CITORIO, 12: 4:41.9004576:12.4787225
COLONNE D'ERCOLE: VIA OSTIENSE, 1411: 1:41.7958827:12.4043624
COLONY FLAMINIO: VIA MONTEROSI, 18: 3:41.9491721:12.4724924
COLORS: VIA BOEZIO, 31: 1:41.9065129:12.4633745
COLOSSEUM: VIA SFORZA, 8-14: 3:41.895868:12.4960365
COLUMBIA: VIA DEL VIMINALE, 15: 3:41.9009473:12.4964787
COLUMBUS: VIA DELLA CONCILIAZIONE, 33: 4:41.9021224:12.4609729
COMMODORE: VIA TORINO, 1: 4:41.8990842:12.4971096
CONCORDE: VIA GIOVANNI AMENDOLA, 95: 2:41.8994039:12.5007809
CONCORDIA: VIA DI CAPO LE CASE, 14: 3:41.9039445:12.4849466
CONDOTTI: VIA MARIO DE FIORI, 37: 3:41.9062078:12.4807103
CONSUL: VIA AURELIA, 727: 3:41.891659:12.4136899
CONTE VERDE: VIA CONTE VERDE, 4: 1:41.8938665:12.5059744
CONTILIA: VIA PRINCIPE AMEDEO, 79/81: 3:41.8984988:12.5007785
CONTINENTALE: VIA PALESTRO, 49: 2:41.9047747:12.504327
CORALLO: VIA PALESTRO, 44: 2:41.9048125:12.5045431
CORONA: VIA NAPOLI, 3: 3:41.8996223:12.4957654
COROT: VIA MARGHERA, 15-17: 3:41.90228:12.50339
CORTINA: VIA NAZIONALE, 18: 3:41.9010195:12.4937537
CORTORILLO: VIA PRINCIPE AMEDEO, 77: 2:41.8985217:12.5007501
COSMOPOLITA: VIA DI S. EUFEMIA, 5: 4:41.8968535:12.4840226
COURTYARD BY MARRIOTT - ROME CENTRAL PARK: VIA GIUSEPPE MOSCATI, 7: 4:41.9259879:12.4279173
CRESSY: VIA VOLTURNO, 27: 1:41.9046456:12.4993902
CRISTINA DEPENDANCE: VIA PALESTRO, 87: 1:41.9034119:12.5060695
CRISTINA'S HOTEL: VIALE CASTRO PRETORIO, 64: 1:41.9052662:12.503757
CRISTOFORO COLOMBO: VIA CRISTOFORO COLOMBO, 710: 4:41.8176864:12.4609585
CROCE DI MALTA: VIA BORGOGNONA, 28: 2:41.90483:12.4813
CROSTI HOTEL: VIA CASTELFIDARDO, 54: 3:41.9063321:12.5013974
CROWNE PLAZA ROME ST PETER -CENTRO BENESSERE CENTRO CONGRESSI: VIA AURELIA ANTICA, 415: 4:41.8894491:12.4242009
D & T HOTEL: VIA CARLO CATTANEO, 23: 1:41.897537:12.5016198
DANIELA 1: VIA LUIGI LUZZATTI, 31: 3:41.8910263:12.5116938
DANIELA 2: VIA LUIGI LUZZATTI, 33: 3:41.890976:12.5118208
DANIEL'S HOTEL: VIA FRATTINA, 107: 4:41.9041037:12.4806474
DE PETRIS: VIA RASELLA, 142: 3:41.9025909:12.4872433
DEGLI ARANCI: VIA BARNABA ORIANI, 11: 4:41.9255693:12.4852113
DEI CONSOLI: VIA VARRONE, 2/D: 4:41.9067042:12.4602484
DEI MELLINI: VIA MUZIO CLEMENTI, 81: 4:41.9073804:12.4724561
DEI MILLE: VIA DEI MILLE, 7/B: 2:41.9037615:12.5032962
DEI QUIRITI: VIA GERMANICO, 198: 1:41.9091417:12.463005
DEL CORSO: VIA DEL CORSO, 79: 3:41.9067711:12.4781549
DEL SENATO: PIAZZA DELLA ROTONDA, 73: 3:41.753263:12.860919
DELLA CONCILIAZIONE: BORGO PIO, 163: 3:41.9036625:12.4622083
DELLA TORRE ARGENTINA: CORSO VITTORIO EMANUELE II, 102: 3:41.8962119:12.4759176
DELLE MUSE: VIA TOMMASO SALVINI, 18: 3:41.9303126:12.4925046
DELLE NAZIONI: VIA POLI, 7: 4:41.9016225:12.482576
DELLE REGIONI: VIA ZUCCHELLI, 1/C: 3:41.9043461:12.4864853
DELLE ROSE: VIA PRINCIPE AMEDEO, 62: 1:41.8992189:12.4999199
DELLE VITTORIE: VIA COL DI LANA, 24: 3:41.91743:12.46302
DELL'URBE: VIA DEI MILLE, 27/A: 2:41.902217:12.5049976
DEMETRA CAPITOLINA: VIA PRINCIPE AMEDEO, 58/62: 2:41.8972423:12.5029832
DEMETRA HOTEL: VIA DEL VIMINALE, 8: 4:41.8999363:12.4953087
DEPANDANCE HOTEL PING PONG 2: VIA DEI FABBRI NAVALI, 6-8: 1:41.7296002:12.2788401
DEPENDANCE HOTEL ESPANA: VIA LUIGI LUZZATTI, 17: 2:41.8917747:12.5103422
DEPENDANCE HOTEL ESPANA: VIA LUIGI LUZZATTI, 17: 2:41.8917747:12.5103422
DEPENDANCE HOTEL ITALIA: VIA VENEZIA, 25: 2:41.899691:12.4931576
DEPENDANCE HOTEL ITALIA: VIA VENEZIA, 25: 2:41.899691:12.4931576
DEPENDANCE HOTEL PING PONG: LUNGOMARE PAOLO TOSCANELLI, 78/80: 2:41.7290546:12.2789071
DES ARTISTES: VIA VILLAFRANCA, 20: 2:41.9051348:12.5052058
DES ARTISTES DEPENDANCE MYHOTEL: VIA VILLAFRANCA, 8/10: 3:41.9053393:12.5049676
DES EPOQUES HOTEL TURNER: VIA NOMENTANA, 27-29: 4:41.9356588:12.5348772
DESIDERIO: VIA DELLA PINETA SACCHETTI, 225: 3:41.9296433:12.4273379
D'ESTE: VIA CARLO ALBERTO, 6: 3:41.896536:12.5010051
DHARMA HOTEL: VIA TORINO, 122: 1:41.9016635:12.4955409
DI RIENZO: VIA PRINCIPE AMEDEO, 79: 1:41.8984988:12.5007785
DIANA: VIA PRINCIPE AMEDEO, 4: 4:41.9007299:12.4972459
DINA: VIA PRINCIPE AMEDEO, 62: 3:41.8992189:12.4999199
D'INGHILTERRA: VIA BOCCA DI LEONE, 14: 5:41.9047177:12.4807035
DIOCLEZIANO: VIA GAETA, 71: 4:41.9039821:12.4995959
DIPENDENZA ALBERGO MOZART-VIVALDI LUXURY ROOMS: VIA DEL CORSO, 75: 3:41.9069284:12.4779508
DIPENDENZA ALBERGO SMERALDO: VIA DEI CHIAVARI, 32: 2:41.8944705:12.4743067
DIPENDENZA HOTEL ALTAVILLA: VIA PRINCIPE AMEDEO, 9: 2:41.9000685:12.4982588
DIPENDENZA HOTEL CASSIA: VIA CASSIA, 1730: 3:42.0082845:12.3793673
DIPENDENZA HOTEL DEI CONSOLI: VIA GERMANICO, 66: 3:41.9077905:12.4576192
DIPENDENZA MECENATE PALACE HOTEL: VIA CARLO ALBERTO, 13: 3:41.89697:12.49994
DIPENDENZA SPRING HOUSE: VIA MOCENIGO, 5/b/c: 3:41.9071654:12.4518438
DIPENDENZA VATICANO: VIA VENEZIA, 25: 1:41.899691:12.4931576
DIPENDENZA 1 ROME TIMES HOTEL: VIA MILANO, 58: 4:41.8982768:12.4907949
DIPENDENZA 2 ROME TIMES HOTEL: VIA MILANO, 58: 4:41.8982768:12.4907949
DIPENDENZA 3 ROME TIMES HOTEL: VIA MILANO, 58: 3:41.8982768:12.4907949
DIPLOMATIC: VIA VITTORIA COLONNA, 28: 3:41.9050724:12.472066
DOGE: VIA DEI DUE MACELLI, 106: 2:41.9033764:12.4850967
DOLOMITI: VIA SAN MARTINO DELLA BATTAGLIA, 11: 3:41.9054472:12.5044599
D-O-M- HOTEL: VIA GIULIA, 131: 5:41.8974319:12.4672032
DOMIDEA HOTEL: VIA RAFFAELE COSTI, 17-21: 1:41.9089404:12.5897079
DOMUS  AURELIA: VIA AURELIA, 218: 2:41.8998628:12.4438352
DOMUS AUREA: VIA VOLTURNO, 32: 3:41.9043411:12.4998899
DOMUS AVENTINA: VIA DI S. PRISCA, 11/B: 3:41.8830459:12.4835073
DOMUS MEA: VIA CALATAFIMI, 31: 2:41.9044068:12.4999098
DOMUS PACIS TORRE ROSSA PARK: VIA DI TORRE ROSSA, 94: 3:41.8907398:12.4262674
DOMUS TIBERINA: VIA IN PISCINULA, 37: 2:41.8890941:12.4769257
DONATELLO: VIA DI PORTA MAGGIORE, 83: 3:41.892167:12.5133454
DONNA CAMILLA SAVELLI: VIA GARIBALDI, 27: 4:41.8900831:12.4659861
DONNA LAURA PALACE: LUNGOTEVERE DELLE ARMI, 21: 4:41.9160301:12.4693736
DORIA: VIA MERULANA, 4: 3:41.9005272:12.4976743
DORICA: PIAZZA DEL VIMINALE, 14: 3:41.900673:12.4966152
DUCA D'ALBA: VIA LEONINA, 14: 4:41.8944406:12.4921389
DUCALE: VIA ACHILLE GRANDI, 2: 2:41.8924238:12.5129598
DUE TORRI: VICOLO DEL LEONETTO, 23: 3:41.90231:12.47431
DUEMILADODICI ROOMS: VIA DEGLI SCIPIONI, 239/2: 2:41.9104935:12.4656691
ECOHOTEL: VIA DI BRAVETTA, 91: 3:41.8851941:12.4233186
EDERA: VIA ANGELO POLIZIANO, 75: 3:41.8908634:12.4998448
EL PATIO: VIA DELL'AIRONE, 8: 1:41.8660679:12.5956955
ELIDE: VIA FIRENZE, 50: 2:41.9023701:12.49405
ELIDE: VIA FIRENZE, 50: 2:41.9023701:12.49405
ELISEO: VIA DI PORTA PINCIANA, 30: 4:41.90847:12.4872
ELITE: VIA FRANCESCO CRISPI, 49: 2:41.9042568:12.4855378
ELYSE': VIA CAIROLI, 133: 3:41.8952607:12.5088354
EMBASSY: VIA ANTONIO SALANDRA, 6: 3:41.9056403:12.4955343
EMMAUS: VIA DELLE FORNACI, 23-25: 3:41.8993084:12.4563748
EMONA AQUAEDUCTUS: VIA STATILIA, 23: 4:41.8909056:12.5129064
EMPIRE PALACE HOTEL: VIA AURELIANA, 39: 4:41.906721:12.4957142
ENRICA: VIALE CASTRO PRETORIO, 25: 1:41.903411:12.5071337
ERCOLI: VIA COLLINA, 48: 2:41.90877:12.49722
ERDARELLI: VIA DEI DUE MACELLI, 28: 2:41.9034716:12.4847631
ERGIFE PALACE: VIA AURELIA, 619: 4:41.8951844:12.4176064
ESPANA: VIA LUIGI LUZZATTI, 21: 2:41.8931426:12.5125277
ESPOSIZIONE: VIA NAZIONALE, 69: 2:41.8993071:12.4912502
ESPOSIZIONE ROMA: VIA NAZIONALE, 66: 3:41.8993337:12.4913465
ESPOSIZIONE 2: VIA NAZIONALE, 66: 2:41.8993337:12.4913465
ESPOSIZIONE 3: VIA NAZIONALE, 66: 2:41.8993337:12.4913465
ESQUILINO: PIAZZA DELL'ESQUILINO, 29: 2:41.8980424:12.496961
EURO QUIRIS: VIA DEI MILLE, 64: 1:41.9020276:12.5054579
EUROGARDEN: SALITA DI CASTEL GIUBILEO, 197: 3:41.9905314:12.5073445
EUROGARDEN: SALITA DI CASTEL GIUBILEO, 197: 3:41.9905314:12.5073445
EUROM: VIA GIOVANNI GUTENBERG, 25-39: 3:41.7709976:12.4854422
EUROM DIPENDENZA: VIA GIOVANNI GUTENBERG, 39: 3:41.7710195:12.4846584
EUROPA: VIA VARESE, 26: 3:41.9030508:12.5053277
EUROROOMS: VIA PALESTRO, 87: 1:41.9034119:12.5060695
EUROSTARS INTERNATIONAL PALACE: VIA NAZIONALE, 46: 4:41.8999838:12.4924129
EUROSTARS ROMA AETERNA CENTRO CONGRESSI: VIA CASILINA, 125: 4:41.8888747:12.5231834
EUROSTARS SAINT JOHN: VIA MATTEO BOIARDO, 30: 4:41.889019:12.5050032
EURPERGOLA: VICOLO DEL COLLE DELLA STREGA, 32: 2:41.81595:12.49083
EVEREST: VIA CAVOUR, 47: 2:41.8994801:12.4983552
EVEREST INN ROME: VIA NAZIONALE, 243: 2:41.9013938:12.4941845
